id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
547255-2026;2026-08-06T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Sanierung Hermann-Greiner-Realschule 5. BA - Elektroarbeiten;Stadtverwaltung Neckarsulm;Neckarsulm;;2026-09-08T09:20:00.000Z;45311200;83;https://ted.europa.eu/bg/notice/-/detail/547255-2026
547522-2026;2026-08-06T22:00:00.000Z;Deutschland – Bauarbeiten – BLB BB / BI / HvB-Herzog von Braunschweig Kaserne Minden / Neubau Lagergebäude 401 / TGA Heizungs- und Sanitärarbeiten / 080-26-00577;Bau- und Liegenschaftbetrieb NRW Bundesbau;Düsseldorf;;2026-09-08T07:00:00.000Z;45331000 45332400;83;https://ted.europa.eu/bg/notice/-/detail/547522-2026
547628-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Gymnasium Füssen - Heizung/Kälte;Landkreis Ostallgäu;Marktoberdorf;;2026-09-02T08:00:00.000Z;45331000 45331100 45331230;83;https://ted.europa.eu/bg/notice/-/detail/547628-2026
547665-2026;2026-08-06T22:00:00.000Z;Deutschland – Bauarbeiten – VE Heizungs- und Sanitärinstallationen (KG 410 & KG 420), Herrichtung und brandschutztechnische Neugliederung der Bürogebäude, HOCHBAU-25, Verwaltungsbebäude, Junggesellenstraße 6-8, 44787 Bochum;Stadt Bochum, Referat Zentrale Vergabestelle;Bochum;;2026-09-01T08:00:00.000Z;45331000 45332400 45332200 45332300 45331100;83;https://ted.europa.eu/bg/notice/-/detail/547665-2026
548187-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – Ausweichquartier Gymnasium Siegesstr. Wuppertal. Neubau Umkleidegebäude, Dietrich-Bonhoeffer-Weg 1, Elektrotechnik;Stadt Wuppertal;Wuppertal;;2026-09-09T06:00:00.000Z;45311000;83;https://ted.europa.eu/bg/notice/-/detail/548187-2026
548241-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizung-,Lüftungs- und Kältearbeiten in der HV Essen - Bestand;Emschergenossenschaft;Essen;;2026-09-01T08:00:00.000Z;45331000;83;https://ted.europa.eu/bg/notice/-/detail/548241-2026
548490-2026;2026-08-06T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Gewerbeschulstr 109 Neubau Installation Elektroinstallation;Stadt Wuppertal;Wuppertal;;2026-09-07T07:00:00.000Z;45311200;83;https://ted.europa.eu/bg/notice/-/detail/548490-2026
548495-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von elektrischen Leitungen – Sportpark Süd - Neubau Stadion- und Trainingsgebäude, Elektroarbeiten;Stadt Offenburg, Fachbereich Bauservice, Zentrale Vergabestelle;Offenburg;;2026-09-24T08:30:00.000Z;45310000;83;https://ted.europa.eu/bg/notice/-/detail/548495-2026
548936-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizungstechnik, Kältetechnik, GCT Ink VE4040;GCT lncubator Berlin GmbH;Berlin;;2026-09-03T08:00:00.000Z;45331000;83;https://ted.europa.eu/bg/notice/-/detail/548936-2026
549276-2026;2026-08-06T22:00:00.000Z;Deutschland – Installateurarbeiten und Verlegung von Abwasserleitungen – Gymnasium Füssen - Sanitär;Landkreis Ostallgäu;Marktoberdorf;;2026-09-02T08:10:00.000Z;45332000 45332200 45332300 45332400 45333000;83;https://ted.europa.eu/bg/notice/-/detail/549276-2026
549446-2026;2026-08-06T22:00:00.000Z;Deutschland – Bau von Fernheizleitungsnetzen – Heizungsinstallationen Julius-Leber-Schule, Seilerstr. 32, Frankfurt a.M. - Vorabmaßnahmen;Stadt Frankfurt am Main - Amt für Bau und Immobilien;Frankfurt am Main;;2026-09-10T07:00:00.000Z;45331000;83;https://ted.europa.eu/bg/notice/-/detail/549446-2026
549510-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Verbandsgemeinde Arzfeld - Grundschule Daleiden - Sanierung und Umnutzung;Verbandsgemeindeverwaltung Arzfeld;Arzfeld;;2026-09-03T08:45:00.000Z;45331000 45331210;83;https://ted.europa.eu/bg/notice/-/detail/549510-2026
549551-2026;2026-08-06T22:00:00.000Z;Deutschland – Blitzschutzarbeiten – Generalsanierung Theater Vorpommern - Spielstätte Greifswald / Instandsetzung und Erweiterung;Universitäts- und Hansestadt Greifswald, Der Oberbürgermeister;Greifswald;;2026-09-09T12:00:00.000Z;45311000 45312310 45312311;83;https://ted.europa.eu/bg/notice/-/detail/549551-2026
550290-2026;2026-08-06T22:00:00.000Z;Deutschland – Bauarbeiten für Gebäude im Gesundheits- und Sozialwesen, für Krematorien und öffentliche Toiletten – Angiografieanlage - HLSK;BG Klinikum Bergmannstrost Halle gGmbH;Halle (Saale);;2026-09-09T08:00:00.000Z;45331000 45331200 45331210;83;https://ted.europa.eu/bg/notice/-/detail/550290-2026
547199-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – Kirschgarten 2. BA, Haus 9 A+B+C+D, Am Heimathaus 40-46 in 48157 Münster-Handorf, Neubau von 4 MFH, davon 2 Hs. mit 18 öfftl. gef. WE + 2 Hs. mit Wohngruppen für 25 WE - Elektroarbeiten;Wohn + Stadtbau Wohnungsunternehmen der Stadt Münster GmbH;Münster;419124.39;;45311000 45311200 45315000 45317000 45315100;80;https://ted.europa.eu/bg/notice/-/detail/547199-2026
547861-2026;2026-08-06T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – René-Schickele-Schule, Sanierung und Erweiterung Grundschule - Elektro- und Informationstechnik;Gemeinde Badenweiler, Bauamt;Badenweiler;948480.17;;45311200;80;https://ted.europa.eu/bg/notice/-/detail/547861-2026
548243-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Bauleistungen für die umfassende Sanierung der Grundschule Daleiden;Verbandsgemeindeverwaltung Arzfeld;Arzfeld;1062823.24;;45331000;80;https://ted.europa.eu/bg/notice/-/detail/548243-2026
548298-2026;2026-08-06T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – 270 Elektroarbeiten von Schwachstrom und Starkstrom;Stadt Augsburg;Augsburg;563250.08;;45311200 45317300;80;https://ted.europa.eu/bg/notice/-/detail/548298-2026
548497-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – René-Schickele-Schule, Sanierung und Erweiterung Grundschule - Heizungstechnik;Gemeinde Badenweiler, Bauamt;Badenweiler;294167.96;;45331000;80;https://ted.europa.eu/bg/notice/-/detail/548497-2026
548571-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – René-Schickele-Schule, Sanierung und Erweiterung Grundschule - Lüftungstechnik;Gemeinde Badenweiler, Bauamt;Badenweiler;482922.37;;45331000 45331200;80;https://ted.europa.eu/bg/notice/-/detail/548571-2026
549541-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Sanitäreinrichtungen – René-Schickele-Schule, Sanierung und Erweiterung Grundschule - Sanitärtechnik;Gemeinde Badenweiler, Bauamt;Badenweiler;194019.86;;45330000 45332400;80;https://ted.europa.eu/bg/notice/-/detail/549541-2026
549916-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – 310 Lufttechnische Anlagen und Abgasabsaugung;Stadt Augsburg;Augsburg;241963.28;;45331000 45331200 45331210 45331220;80;https://ted.europa.eu/bg/notice/-/detail/549916-2026
549950-2026;2026-08-06T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Elektrische Anlagen BA2;Landratsamt Erlangen-Höchstadt;Erlangen;602666.41;;45311200 45315000 45311000 45317000 45315100 45312100 45315600;80;https://ted.europa.eu/bg/notice/-/detail/549950-2026
547039-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Aufzügen – 0039 - Rottal-Inn Kliniken KU Eggenfelden - Neubau OP-/Intensivabteilung - Aufzugsanlagen;Rottal-Inn Kliniken KU;Eggenfelden;;2026-09-29T11:00:00.000Z;45313100;63;https://ted.europa.eu/bg/notice/-/detail/547039-2026
547062-2026;2026-08-06T22:00:00.000Z;Deutschland – Stromversorgungsanlagen – Justizvollzugsanstalt Torgau Sozialtherapie;Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement;Dresden;;2026-09-07T07:00:00.000Z;45315300;63;https://ted.europa.eu/bg/notice/-/detail/547062-2026
547101-2026;2026-08-06T22:00:00.000Z;Deutschland – Installation von Sanitäreinrichtungen – Anbau Unesco-Schule, 2. BA - Sanitär;Stadt Kamp-Lintfort;Kamp-Lintfort;;2026-08-25T08:00:00.000Z;45332400;63;https://ted.europa.eu/bg/notice/-/detail/547101-2026
