id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
519810-2026;2026-07-27T22:00:00.000Z;"Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Bundes- und Landesstraßen im Landkreis Wartburgkreis; Grasmahd - Jahresvertrag 2027/2028";Thüringer Landesamt für Bau und Verkehr, Referat 45 - Region Südwest;Zella-Mehlis;790967.71;2026-08-27T11:30:00.000Z;77310000;95;https://ted.europa.eu/bg/notice/-/detail/519810-2026
520313-2026;2026-07-27T22:00:00.000Z;"Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Bundes- und Landesstraßen im Landkreis Hildburghausen und Sonneberg; Grasmahd - Jahresvertrag 2027/2028";Thüringer Landesamt für Bau und Verkehr, Referat 45 - Region Südwest;Zella-Mehlis;721972.27;2026-08-27T08:00:00.000Z;77310000;95;https://ted.europa.eu/bg/notice/-/detail/520313-2026
520890-2026;2026-07-27T22:00:00.000Z;"Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Bundes- und Landesstraßen im Landkreis Schmalkalden-Meiningen; Grasmahd - Jahresvertrag 2027/2028";Thüringer Landesamt für Bau und Verkehr, Referat 45 - Region Südwest;Zella-Mehlis;492448.32;2026-08-27T09:00:00.000Z;77310000;95;https://ted.europa.eu/bg/notice/-/detail/520890-2026
520867-2026;2026-07-27T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Rahmenvereinbarung zur Außen- und Vegetationspflege an diversen Standorten;AOK NordWest - Die Gesundheitskasse.;Hagen;;2026-08-20T08:00:00.000Z;77310000 77300000 77340000;83;https://ted.europa.eu/bg/notice/-/detail/520867-2026
522309-2026;2026-07-27T22:00:00.000Z;"Deutschland – Komplett- oder Teilbauleistungen im Hochbau sowie Tiefbauarbeiten – ÖPP-Projekt „Postblockareal Nord (PBN), Berlin-Mitte | Neubau für ministerielle Nutzung"" - VOEK 637-25";Bundesanstalt für Immobilienaufgaben;Bonn;;2026-09-15T07:00:00.000Z;77310000;83;https://ted.europa.eu/bg/notice/-/detail/522309-2026
522392-2026;2026-07-27T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Grünanlagen – 62-2026-505-EA Landschaftsbauarbeiten DIN 18320 ff. und Wegebauarbeiten DIN 18318ff.;Stadt Regensburg;Regensburg;;2026-08-28T08:00:00.000Z;45112710;83;https://ted.europa.eu/bg/notice/-/detail/522392-2026
519890-2026;2026-07-27T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Sport- und Freizeitanlagen – Erneuerung der Grünanlagen im Ferdinand-Drexler-Weg BA II Bikepark;Stadt Nürnberg - Servicebetrieb Öffentlicher Raum;Nürnberg;160000;;45112710 45112720 45112700 45112723;80;https://ted.europa.eu/bg/notice/-/detail/519890-2026
521279-2026;2026-07-27T22:00:00.000Z;Deutschland – Grundstückspflege – Pflege Außenanlagen Schierke;Berufsgenossenschaft Holz und Metall;Mainz;255000;;77314000 77310000 77313000 77312000;80;https://ted.europa.eu/bg/notice/-/detail/521279-2026
521836-2026;2026-07-27T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Arbeiten – Neubau einer Pflegeeinrichtung: Landschaftsbauarbeiten;Landkreis Osterholz;Osterholz-Scharmbeck;0;2026-08-11T09:00:00.000Z;45112710 45112700 45112712;75;https://ted.europa.eu/bg/notice/-/detail/521836-2026
519345-2026;2026-07-27T22:00:00.000Z;Deutschland – Grundstückspflege – Pflege Außenanlagen & Winterdienst;Universität Duisburg-Essen;Duisburg;;;77314000;68;https://ted.europa.eu/bg/notice/-/detail/519345-2026
