id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
447978-2026;;Deutschland – Gebäudereinigung – IGM 26E1002 - Staatliches Baumanagement Braunschweig, Fachbereich Gebäudemanagement - Behördenzentrum Lüneburg, Auf der Hude 2 - Unterhalts- und Glasreinigung;Land Niedersachsen vertreten durch das Staatliche Baumanagement Niedersachsen;Braunschweig;886720;2026-08-11T07:30:00.000Z;90911200 90911300;95;https://ted.europa.eu/bg/notice/-/detail/447978-2026
449628-2026;;Deutschland – Reinigungsdienste – Unterhalts-, Grund- und Sonderreinigung (Los 1) sowie Glas- und Rahmenreinigung (Los 2) in der Liegenschaft des BMWE am Dienstsitz Bonn;Bundesministerium für Wirtschaft und Energie;Berlin;3024000;2026-08-06T21:59:00.000Z;90910000 90911200 90919200 90911300 90919100;95;https://ted.europa.eu/bg/notice/-/detail/449628-2026
467987-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Reinigungsleistung in Objekten der Sennegemeinde Hövelhof;Sennegemeinde Hövelhof;Hövelhof;1011000;2026-08-06T08:00:00.000Z;90911000;95;https://ted.europa.eu/bg/notice/-/detail/467987-2026
469202-2026;;Deutschland – Reinigungsdienste – Unterhalts- und Grundreinigung in 73 städtischen Objekten 2027;Stadt Sindelfingen;Böblingen;11819537;2026-08-17T07:59:00.000Z;90910000;95;https://ted.europa.eu/bg/notice/-/detail/469202-2026
476515-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung der Büroflächen ab 2027;Verbraucherzentrale Bundesverband e.V.;Berlin;217000;2026-08-17T10:00:00.000Z;90911200 90910000 90911300;95;https://ted.europa.eu/bg/notice/-/detail/476515-2026
479431-2026;;Deutschland – Gebäudereinigung – Grund- und Veranstaltungsreinigung der Sparkassen-Arena in Bernau bei Berlin;Stadt Bernau bei Berlin;Bernau bei Berlin;291600;2026-08-10T07:00:00.000Z;90911200;95;https://ted.europa.eu/bg/notice/-/detail/479431-2026
496848-2026;;Deutschland – Reinigungsdienste – Casinoreinigung;Deutsche Welle, Standort Bonn;Bonn;917250.88;2026-08-19T08:00:00.000Z;90910000;95;https://ted.europa.eu/bg/notice/-/detail/496848-2026
498680-2026;;Deutschland – Reinigungsdienste – Industriereinigung MHKW;Technische Werke Ludwigshafen am Rhein AG;Ludwigshafen;2400000;2026-08-16T21:59:00.000Z;90910000;95;https://ted.europa.eu/bg/notice/-/detail/498680-2026
512256-2026;;Deutschland – Reinigungsdienste – PRO-2880457089 - Provision of Cleaning Services all buildings;European Central Bank;Frankfurt am Main;16500000;2026-08-27T10:00:00.000Z;90910000;95;https://ted.europa.eu/bg/notice/-/detail/512256-2026
431960-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren (EU-weit) zur Vergabe von Gebäudereinigungsleistungen (Unterhaltsreinigung) für mehrere Liegenschaften in Bayern (Niederbayern) - VOEK 070-26;Bundesanstalt für Immobilienaufgaben;Bonn;;2026-08-11T07:00:00.000Z;90911200;83;https://ted.europa.eu/bg/notice/-/detail/431960-2026
436703-2026;;Deutschland – Gebäudereinigung – UHR Günderrodeschule;Stadt Frankfurt am Main, Amt für Bau und Immobilien;Frankfurt am Main;;2026-08-25T10:00:00.000Z;90911200;83;https://ted.europa.eu/bg/notice/-/detail/436703-2026
436808-2026;;Deutschland – Gebäudereinigung – Reinigungsdienstleistungen im EWE Konzern;EWE AG;Oldenburg;;2036-12-31T11:00:00.000Z;90911200 90910000;83;https://ted.europa.eu/bg/notice/-/detail/436808-2026
