id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
531072-2026;2026-07-30T22:00:00.000Z;Deutschland – Bau von Grundschulen – Elisabeth-Selbert-Schule, Babenhausen -Neubau Grundschule-;Eigenbetrieb Da-Di-Werk, Gebäudemanagement;Darmstadt;28026000;2026-08-31T07:00:00.000Z;45421100 45421143;85;https://ted.europa.eu/bg/notice/-/detail/531072-2026
529733-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Fenstern – WSA_05 / Los 5 - Fensterarbeiten;Studierendenwerk West:Brandenburg;Potsdam;;2026-09-08T08:00:00.000Z;44221000 45421132 44221100 45421000;83;https://ted.europa.eu/bg/notice/-/detail/529733-2026
530157-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Tischler - Innentüren;Kreiskrankenhaus Wolgast gGmbH;Wolgast;;2026-09-03T21:59:00.000Z;45421100;83;https://ted.europa.eu/bg/notice/-/detail/530157-2026
530406-2026;2026-07-30T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – 0057 - Klinikum Memmingen, Neubau Klinikum - Stahlbauarbeiten Hubschrauberlandeplatz;Klinikum Memmingen AöR;Memmingen;;2026-09-01T09:00:00.000Z;45223210;83;https://ted.europa.eu/bg/notice/-/detail/530406-2026
531324-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Neubau der Realschule Rühen - Aluelemente außen;Landkreis Gifhorn;Gifhorn;;2026-09-03T08:29:00.000Z;45421100;83;https://ted.europa.eu/bg/notice/-/detail/531324-2026
531412-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Prallwandtore, -türen und -fenster;Landeshauptstadt Hannover - Fachbereich Gebäudemanagement;Hannover;;2026-09-01T08:00:00.000Z;45421100 45421148;83;https://ted.europa.eu/bg/notice/-/detail/531412-2026
531657-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Kita Lotte Lemke;Stadt Heilbronn Rechtsamt - Zentrales Vergabemanagement -;Heilbronn;;2026-09-03T08:00:00.000Z;45421100 44221000;83;https://ted.europa.eu/bg/notice/-/detail/531657-2026
532100-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Tischlerarbeiten Fenster und Außentüren;BRD, vertr. d. BMVg, vertr. d. ABH, vertr. d. BBA;Hamburg;;2026-09-01T07:00:00.000Z;45421100;83;https://ted.europa.eu/bg/notice/-/detail/532100-2026
532639-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen – Innentüren Haus 1B und 3;Handwerkskammer Dortmund;Dortmund;;2026-09-07T09:00:00.000Z;44221000 45421131 44221210 44221211 44221200;83;https://ted.europa.eu/bg/notice/-/detail/532639-2026
533166-2026;2026-07-30T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – Stahlbau - RappSoDie;Stadt Bad Rappenau;Bad Rappenau;;2026-09-18T07:30:00.000Z;45223210;83;https://ted.europa.eu/bg/notice/-/detail/533166-2026
531731-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Landkreis Regensburg: Neubau Schwimmhalle Realschule Regenstauf, Innentüren;Landkreis Regensburg;Regensburg;67032.72;;45421100 45421110 45421120 45421131;80;https://ted.europa.eu/bg/notice/-/detail/531731-2026
531977-2026;2026-07-30T22:00:00.000Z;Deutschland – Bautischlerei-Einbauarbeiten – Bauleistungen Ganztags- und Grundschulgebäude Los 5: Außentischlerarbeiten;Gemeinde Handewitt;Handewitt;552693;;45421100 45421000;80;https://ted.europa.eu/bg/notice/-/detail/531977-2026
532870-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – 26-0120 GRUNDSCHULE LEHRE Anbau, Umbau u. Brandschutzsanierung - Innentüren;Gemeinde Lehre;Lehre;110080;;45421100;80;https://ted.europa.eu/bg/notice/-/detail/532870-2026
533201-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Vergabe von Fenster- und Außentürarbeiten für den Neubau und die Sanierung von Sporthallen (Hockey und Tennis);HTC Uhlenhorst Mülheim e.V.;Mülheim an der Ruhr;200000;;45421100;80;https://ted.europa.eu/bg/notice/-/detail/533201-2026
530371-2026;2026-07-30T22:00:00.000Z;Deutschland – Installation von Sprinkleranlagen – MA, MaReCum, Med. Fakultät Mannheim der Uni HD, Neubau Forschung und Lehre Sprinkler- und Feuerlöschanlagen;Vermögen und Bau Baden-Württemberg, Amt Mannheim und Heidelberg Dienstsitz Mannheim;Mannheim;1076271.74;2026-08-31T21:59:00.000Z;45343230;75;https://ted.europa.eu/bg/notice/-/detail/530371-2026
531044-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Schulprojekt Kardinal-von-Galen-Schule - Tischlerarbeiten/Innentüren mit Holzzarge;Stadt Harsewinkel Zentrale Vergabestelle;Harsewinkel;;;45421100;68;https://ted.europa.eu/bg/notice/-/detail/531044-2026
532356-2026;2026-07-30T22:00:00.000Z;Deutschland – Metallbauarbeiten – Grundschule Heeßen - Metallbau- und Verglasungsarbeiten;Landkreis Schaumburg - Vergabestelle;Stadthagen;;;45421100;68;https://ted.europa.eu/bg/notice/-/detail/532356-2026
533004-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – 032 Alu-Türen und, Alu Pfosten Riegel F., Alu-Fenster;Stadt Augsburg;Augsburg;;2026-08-07T08:30:00.000Z;45421100;68;https://ted.europa.eu/bg/notice/-/detail/533004-2026
529942-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Trennwänden – Trockenbauarbeiten / Anbau Kreishaus Wittlich;Kreisverwaltung Bernkastel-Wittlich;Wittlich;;2026-09-01T07:59:00.000Z;45421141 45421146;63;https://ted.europa.eu/bg/notice/-/detail/529942-2026
529999-2026;2026-07-30T22:00:00.000Z;Deutschland – Gipskartonarbeiten – NSBP - Neubau Familienbad in Pfungstadt: V21SB01-10 Trockenbau;Magistrat der Stadt Pfungstadt;Pfungstadt;;2026-09-01T09:00:00.000Z;45421141 45421146 45421152;63;https://ted.europa.eu/bg/notice/-/detail/529999-2026
530069-2026;2026-07-30T22:00:00.000Z;Deutschland – Installation von Einbauküchen – Küchentechnische Anlagen - RappSoDie;Stadt Bad Rappenau;Bad Rappenau;;2026-09-28T08:30:00.000Z;45421151;63;https://ted.europa.eu/bg/notice/-/detail/530069-2026
530547-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Trennwänden – Kita Lotte Lemke;Stadt Heilbronn Rechtsamt - Zentrales Vergabemanagement -;Heilbronn;;2026-09-08T07:30:00.000Z;45421141;63;https://ted.europa.eu/bg/notice/-/detail/530547-2026
530928-2026;2026-07-30T22:00:00.000Z;Deutschland – Bautischlerei-Einbauarbeiten ohne Metall – 62-2026-530-EA - Tischlerarbeiten DIN 18358 - Feste Einbauten;Stadt Regensburg;Regensburg;;2026-08-31T09:00:00.000Z;45421150;63;https://ted.europa.eu/bg/notice/-/detail/530928-2026
531321-2026;2026-07-30T22:00:00.000Z;Deutschland – Metallbauarbeiten – Neubau Kindertagesstätte Hergensweiler - Metallbauarbeiten;Gemeinde Hergensweiler;Hergensweiler;;2026-09-07T09:00:00.000Z;45341000;63;https://ted.europa.eu/bg/notice/-/detail/531321-2026
532163-2026;2026-07-30T22:00:00.000Z;Deutschland – Metallbauarbeiten – Metallbau - Stahl- und Rohrrahmentüren 70-00001-2880-57 - PR1263647-2880-B;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. - Einkauf B12 - Vergabestelle Bau;München;;2026-09-03T09:00:00.000Z;44221200 45421131;63;https://ted.europa.eu/bg/notice/-/detail/532163-2026
532260-2026;2026-07-30T22:00:00.000Z;Deutschland – Metallbauarbeiten – Stahlbauarbeiten Schule Siegburger Straße;Landeshauptstadt Düsseldorf, Der Oberbürgermeister, Amt für Recht, Vergabe und Versicherungen, Zentrale Vergabestelle;Düsseldorf;;2026-09-01T08:00:00.000Z;45421140 45343100;63;https://ted.europa.eu/bg/notice/-/detail/532260-2026
532271-2026;2026-07-30T22:00:00.000Z;"Deutschland – Bauarbeiten für Schulgebäude – Sanierung und Erweiterung der Grundschule Bremervörde; Trockenbauarbeiten";Stadt Bremervörde;Bremervörde;;2026-09-03T07:30:00.000Z;44221100 44221200;63;https://ted.europa.eu/bg/notice/-/detail/532271-2026
532383-2026;2026-07-30T22:00:00.000Z;Deutschland – Bau von weiterführenden Schulen – Realschule Eggenfelden BA 5, Innentüren;Landkreis Rottal-Inn;Pfarrkirchen;;2026-09-16T09:00:00.000Z;45421111 45421131;63;https://ted.europa.eu/bg/notice/-/detail/532383-2026
532663-2026;2026-07-30T22:00:00.000Z;Deutschland – Brandschutzarbeiten – BLB NRW D/Wuppertal(WE2477)/D-M2200 JZ W/Instandhaltung Geb.2 /047 Dämm- und Brandschutzarbeiten an technischen Anlagen (AG und LG) 065-26-00238;Bau- und Liegenschaftsbetrieb NRW Düsseldorf;Düsseldorf;;2026-09-03T06:30:00.000Z;45343100;63;https://ted.europa.eu/bg/notice/-/detail/532663-2026
533307-2026;2026-07-30T22:00:00.000Z;Deutschland – Installation von Feuerlöschanlagen – Erweiterung und Anbau Kreishaus I für Leitstelle und Verwaltung - Gaslöschanlage;Kreis Coesfeld;Coesfeld;;2026-09-03T08:00:00.000Z;45343200 45343100 45343000;63;https://ted.europa.eu/bg/notice/-/detail/533307-2026
533437-2026;2026-07-30T22:00:00.000Z;Deutschland – Bautischlerei-Einbauarbeiten mit Metall, außer Türen und Fenstern – SLUB Interim Haus F;Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement;Dresden;;2026-09-04T07:00:00.000Z;45421140;63;https://ted.europa.eu/bg/notice/-/detail/533437-2026
529783-2026;2026-07-30T22:00:00.000Z;Deutschland – Installation von Sprinkleranlagen – A2 143250 HLT San. 2.OG/DG Wassernebel Löschanl. Hochdruck;Land Hessen, vertreten durch den Landesbetrieb Bau und Immobilien Hessen, Zentrale Vergabe;Bad Nauheim;90129.76;;45343230;60;https://ted.europa.eu/bg/notice/-/detail/529783-2026
530076-2026;2026-07-30T22:00:00.000Z;Deutschland – Einbau von Türen – Erweiterung Grundschule Trostberg - Gewerk: Schreinerarbeiten - Innentüren;Stadt Trostberg;Trostberg;150423;;45421131 45421000;60;https://ted.europa.eu/bg/notice/-/detail/530076-2026
530927-2026;2026-07-30T22:00:00.000Z;Deutschland – Installation von Trennwänden – Erweiterung Waldschule, WC-Trennwände;Stadt Walldorf;Walldorf;2861288;;45421152;60;https://ted.europa.eu/bg/notice/-/detail/530927-2026
